☔降水量の合計(mm),🌡️平均気温(℃),💨平均風速(m/s),🧭最多風向(16方位),🏢都道府県,🏙️市区町村,❄️降雪量合計(cm),⚪未使用,☔降水量の合計(mm):Base,💧平均湿度(％),☁️平均雲量(10分比),♨️平均蒸気圧(hPa),🔄平均現地気圧(hPa),☀️日照時間(時間),🌨️雪日数(日),⚡雷日数(日),🌫️霧日数(日)
1995-06,21.7,2.7,⬆️北,福岡県,福岡市,0,0,84.0,75,7.9,19.4,1005.6,152.7,0,1,0
1995-07,27.4,2.9,⬇️南,福岡県,福岡市,0,0,527.5,75,6.9,27.0,1008.3,189.1,0,5,0
1995-08,29.3,2.5,➡️南東,福岡県,福岡市,0,0,109.0,73,6.1,29.6,1010.4,227.4,0,10,0
1995-09,23.5,3.0,⬆️北,福岡県,福岡市,0,0,169.0,71,7.2,20.9,1010.8,145.4,0,3,0
1995-10,19.2,2.4,➡️南東,福岡県,福岡市,0,0,55.0,71,5.3,15.8,1016.1,191.6,0,0,0
1995-11,12.3,2.8,➡️南東,福岡県,福岡市,0,0,38.5,63,5.4,9.0,1017.7,153.7,0,1,0
1995-12,7.4,3.0,➡️南東,福岡県,福岡市,0,0,16.0,59,6.6,6.2,1021.6,100.2,4,0,0
1996-01,6.5,2.9,➡️南東,福岡県,福岡市,0,0,41.5,62,6.8,6.2,1020.1,121.2,5,0,1
1996-02,6.1,3.1,➡️南東,福岡県,福岡市,0,0,41.5,63,7.1,6.2,1020.3,107.3,9,2,1
1996-03,9.9,3.2,⬆️北,福岡県,福岡市,0,0,124.5,63,7.9,8.0,1015.5,118.4,0,3,0
1996-04,12.5,2.8,⬆️北北西,福岡県,福岡市,0,0,104.0,61,6.2,9.1,1015.6,194.4,0,0,0
1996-05,19.4,2.5,⬆️北,福岡県,福岡市,0,0,50.5,64,6.4,14.2,1011.2,225.7,0,4,0
1996-06,23.9,2.7,➡️南東,福岡県,福岡市,0,0,344.0,79,8.4,23.3,1006.6,102.2,0,2,0
1996-07,27.1,3.0,⬆️北,福岡県,福岡市,0,0,113.0,75,7.0,26.7,1007.7,184.9,0,4,0
1996-08,28.2,2.9,➡️南東,福岡県,福岡市,0,0,179.5,72,6.5,27.5,1006.6,207.9,0,2,0
1996-09,23.8,2.8,⬆️北,福岡県,福岡市,0,0,76.0,70,6.4,20.7,1010.0,184.9,0,1,0
1996-10,19.0,2.3,➡️南東,福岡県,福岡市,0,0,72.0,71,5.6,15.8,1015.8,179.9,0,1,0
1996-11,14.2,2.7,➡️南東,福岡県,福岡市,0,0,70.0,68,7.2,11.6,1018.7,88.4,0,1,0
1996-12,8.6,2.5,➡️南東,福岡県,福岡市,0,0,59.0,67,5.5,7.6,1019.7,133.7,3,1,0
1997-01,6.2,3.0,➡️南東,福岡県,福岡市,3,0,68.0,63,6.8,6.0,1018.3,114.2,7,5,1
1997-02,7.7,2.8,➡️南東,福岡県,福岡市,0,0,32.0,58,6.3,6.3,1019.3,134.3,2,0,0
1997-03,11.3,3.0,⬆️北,福岡県,福岡市,0,0,91.5,64,6.2,8.7,1018.3,164.6,0,1,0
1997-04,15.3,2.7,⬆️北,福岡県,福岡市,0,0,142.5,66,6.2,11.4,1014.5,196.1,0,4,0
1997-05,20.4,2.6,➡️南東,福岡県,福岡市,0,0,181.5,67,6.7,16.1,1008.2,191.9,0,7,1
1997-06,23.6,2.6,⬆️北,福岡県,福岡市,0,0,190.0,71,7.3,20.7,1006.7,185.4,0,2,0
1997-07,26.6,2.9,⬆️北,福岡県,福岡市,0,0,529.5,75,7.1,25.6,1006.7,169.7,0,3,0
1997-08,28.0,3.0,➡️南東,福岡県,福岡市,0,0,322.5,73,6.6,27.4,1007.6,205.0,0,5,0
1997-09,23.3,3.3,⬆️北,福岡県,福岡市,0,0,216.0,72,6.7,20.9,1010.6,156.2,0,1,0
1997-10,18.6,2.6,➡️南東,福岡県,福岡市,0,0,33.5,60,4.0,13.1,1015.8,227.6,0,3,0
1997-11,14.9,2.6,➡️南東,福岡県,福岡市,0,0,180.0,67,6.3,11.7,1018.7,131.0,0,4,0
1997-12,9.5,2.6,➡️南東,福岡県,福岡市,0,0,96.0,65,7.1,7.9,1021.2,98.6,4,1,0
1998-01,6.6,2.9,➡️南東,福岡県,福岡市,0,0,208.0,67,8.5,6.7,1020.0,61.7,4,2,0
1998-02,9.4,2.9,⬆️北,福岡県,福岡市,0,0,68.0,65,7.0,7.9,1018.0,108.2,1,1,1
1998-03,10.9,2.8,➡️南東,福岡県,福岡市,0,0,93.0,64,7.2,8.4,1017.8,159.2,0,1,0
1998-04,17.6,2.7,⬆️北,福岡県,福岡市,0,0,201.0,75,6.9,15.3,1013.8,147.6,0,3,1
1998-05,21.1,2.4,⬆️北,福岡県,福岡市,0,0,268.5,72,7.4,17.8,1011.9,161.4,0,1,0
1998-06,22.9,2.7,⬆️北,福岡県,福岡市,0,0,401.0,78,8.8,22.1,1007.1,116.5,0,2,0
1998-07,27.6,2.9,⬆️北,福岡県,福岡市,0,0,154.5,75,7.6,27.6,1005.1,181.4,0,9,0
1998-08,29.2,2.8,➡️南東,福岡県,福岡市,0,0,175.0,71,6.2,28.5,1007.6,198.5,0,5,0
1998-09,25.7,2.9,⬆️北,福岡県,福岡市,0,0,90.5,73,6.7,24.0,1009.0,174.2,0,1,0
1998-10,20.8,2.4,⬆️北,福岡県,福岡市,0,0,139.5,74,6.6,18.3,1014.4,131.5,0,0,0
1998-11,14.3,2.5,➡️南東,福岡県,福岡市,0,0,43.5,66,6.0,10.9,1017.9,148.9,0,2,0
1998-12,10.6,2.4,➡️南東,福岡県,福岡市,0,0,23.0,62,5.2,8.0,1021.6,176.3,0,0,0
1999-01,7.3,2.8,➡️南東,福岡県,福岡市,0,0,42.0,58,6.6,6.0,1018.9,120.2,4,0,0
1999-02,7.2,2.9,➡️南東,福岡県,福岡市,10,0,51.5,59,6.5,6.0,1019.5,127.6,8,1,0
1999-03,11.3,3.1,⬆️北,福岡県,福岡市,0,0,65.0,69,7.9,9.4,1014.3,89.5,1,0,0
1999-04,14.8,3.2,⬆️北,福岡県,福岡市,0,0,101.0,69,7.1,11.7,1012.6,141.1,0,1,0
1999-05,19.7,2.7,⬆️北北西,福岡県,福岡市,0,0,128.5,64,5.8,14.5,1010.2,243.2,0,1,0
1999-06,23.2,2.6,⬆️北北西,福岡県,福岡市,0,0,464.0,75,7.8,21.1,1006.9,139.3,0,3,0
1999-07,25.3,2.7,⬆️北,福岡県,福岡市,0,0,247.0,77,8.7,24.6,1004.8,110.5,0,3,0
1999-08,27.6,2.8,➡️南東,福岡県,福岡市,0,0,194.5,74,8.0,27.1,1006.0,128.7,0,9,0
1999-09,26.2,2.5,➡️南東,福岡県,福岡市,0,0,185.0,77,7.7,26.1,1009.1,121.0,0,3,0
1999-10,19.9,2.4,➡️南東,福岡県,福岡市,0,0,60.5,66,5.3,15.6,1016.2,177.5,0,3,0
1999-11,13.8,2.5,➡️南東,福岡県,福岡市,0,0,100.5,67,6.6,10.7,1018.5,128.4,0,0,0
1999-12,8.6,2.8,➡️南東,福岡県,福岡市,0,0,22.0,60,5.6,6.8,1022.3,144.8,4,1,0
2000-01,7.7,2.6,➡️南東,福岡県,福岡市,0,0,71.0,67,7.5,7.2,1020.6,100.0,7,0,0
