発売日,クロスレビュー(評価),価格帯,ジャンル,メーカー,タイトル,シリーズ,ID,カウント,👥クリエイターズ👨‍💼👨‍💻🎨,👨‍💼ディレクター,👨‍💻プログラマー,🎨デザイナー/美術,🎵音楽,📝シナリオ,💼プロデューサー,
2003-11-28,-,-,-,ナツメ,"メダロット BRAVE",,3970,0,,,,,,,,
2003-11-28,-,-,-,任天堂,マリオパーティ5,,3861,0,,菊池賢次,,中田伸一,田中あや(作曲)|坂東章平(サウンドディレクター)|近藤浩治(サウンドサポート),,佐藤浩(任天堂)|池田淳(ハドソン),
2003-12-04,-,-,-,エレクトロニック・アーツ,"メダル・オブ・オナー ライジングサン",,3839,0,,,,,,,,
2003-12-04,-,-,-,カプコン,"ミッキー＆ミニー トリック＆チェイス",,3862,0,,,,,,,,
2003-12-04,-,-,-,コナミ,"クラッシュ・バンディクー4 さくれつ!魔神パワー",,3971,0,,,,,,,,
2003-12-04,-,-,-,トミー,"ナルト 激闘忍者大戦!2",,3972,0,,,,,,,,
2003-12-04,-,-,-,ハドソン,"ハドソンセレクション Vol.3 PC原人",,3973,0,,,,,,,,
2003-12-05,-,-,-,ナムコ,"バテン・カイトス 終わらない翼と失われた海",,3800,0,,本根康之|初芝弘也,,,桜庭統,加藤正人,野村匡,
2003-12-06,-,-,-,ユークス,ファインディング・ニモ,,3974,0,,,,,トーマス・ニューマン|ロビー・ウィリアムズ,アンドリュー・スタントン|ボブ・ピーターソン|デヴィッド・レイノルズ,,
2003-12-11,-,-,-,エレクトロニック・アーツ,ハリー・ポッターと賢者の石,,3975,0,,,,,,,,
2003-12-11,-,-,-,セガ,"ダビつく3 ダービー馬をつくろう!",,3822,0,,,,,,,,
2003-12-11,-,-,-,ハドソン,"桃太郎電鉄12 西日本編もありまっせー!",,3863,0,,さくまあきら(ゲーム監督),,柴尾英令(ゲーム演出)|土居孝幸,関口和之|池毅|宮路一昭,,,
2003-12-11,-,-,-,バンダイ,"ワンピース グランドバトル!3",,3976,0,,,,,,,,
2003-12-12,-,-,-,任天堂,ドンキーコンガ,,3864,0,,,,,,,,
2003-12-18,-,-,-,エレクトロニック・アーツ,SSX3,,3977,0,,,,,,,,
2003-12-18,-,-,-,カプコン,"ビューティフルジョー リバイバル",,3978,0,,太田潤一,,"スエカネクミコ|小手川宗行| 金原忍|大橋幸子|長野伸明","五木田岳彦| 林祐介|小林克良(音響監督)",カプコン,稲葉敦志,
2003-12-18,-,-,-,コナミ,"実況パワフルプロ野球10 超決定版 2003メモリアル",,3979,0,,,,,,,,
2003-12-18,-,-,-,タカラ,"デュエル・マスターズ 熱闘!バトルアリーナ",,3865,0,,,,,,,,
2003-12-18,-,-,-,ハドソン,"ドリームミックスTV ワールドファイターズ",,3980,0,,,,,,,,
2003-12-18,-,-,-,ハドソン,"ハドソンセレクション Vol.4 高橋名人の冒険島",,3981,0,,,,,,,,
2003-12-25,-,-,-,エレクトロニック・アーツ,"ニード・フォー・スピード アンダーグラウンド",,3888,0,,,,,,,,
2003-12-30,-,-,-,セガ,ソニックヒーローズ,,3982,0,,飯塚隆,片野徹,前川司郎|星野一幸,瀬上純|幡谷尚史|蓑部雄崇|大谷智哉|杉山圭一|小林秀聡|南波真理子|中川輝彦|熊谷文恵,前川司郎,中裕司,
2004-01-08,-,-,-,エレクトロニック・アーツ,"ロード・オブ・ザ・リング 王の帰還",,3801,0,,,,,ハワード・ショア,J・R・R・トールキン,,
2004-01-15,-,-,-,セガ,"カイジュウの島 アメージングアイランド",,3983,0,,,,,,,,
2004-01-22,-,-,-,エレクトロニック・アーツ,ザ・シムズ,,3823,0,,,,,,,,
2004-01-22,-,-,-,任天堂,"1080° シルバーストーム",,3984,0,,,,,,,,
2004-01-23,-,-,-,アイディアファクトリー,"学園都市ヴァラノワール ローゼス",,3803,0,,,,,,,,
2004-02-11,-,-,-,エレクトロニック・アーツ,"007 エブリシング オア ナッシング",,3985,0,,,,,,,,
2004-02-26,-,-,-,コトブキシステム,ローグオプス,,3986,0,,,,,,,,
2004-03-04,-,-,-,タイタスジャパン,"ロボコップ 新たなる危機",,3987,0,,,,,ベイジル・ポールドゥリス,エドワード・ニューマイヤー|マイケル・マイナー,,
2004-03-04,-,-,-,任天堂,"カスタムロボ バトルレボリューション",,3988,0,,,,,,,,
2004-03-11,-,-,-,コナミ,"メタルギアソリッド ザ・ツインスネークス",,3989,0,,,,,,,,
2004-03-18,-,-,-,任天堂,"ゼルダの伝説 4つの剣+",,3990,0,,鈴木利明|土山芳紀,副島康成,,太田あすか|近藤浩治|中塚章人|永田権太,,青沼英二|宮本茂,
2004-03-18,-,-,-,バンダイ,"機動戦士ガンダム 戦士達の軌跡",,3991,0,,藪崎久也,,後藤豪太,,,今西智明|磯貝健夫,
